0;1192
500;321192
1000;641200
1500;1026816
2000;1346824
2500;1797944
3000;2117960
3500;2437960
4000;2757976
4500;3340136
5000;3660136
5500;3980152
6000;4300152
6500;4620168
7000;4940184
7500;5260184
8000;5580200
8500;6424488
9000;6744504
9500;7064520
10000;984872
10500;1304872
11000;1624960
11500;1944960
12000;2264976
12500;2584976
13000;2904992
13500;3224992
14000;3545008
14500;3865024
15000;4185024
15500;4505040
16000;4825040
16500;5145056
17000;5465072
17500;5785072
18000;6105088
18500;6425088
19000;6745104
19500;7065120
20000;984872
20500;1304904
21000;1624952
21500;1944968
22000;2265040
22500;2585040
23000;2905056
23500;3225056
24000;3545072
24500;3865088
25000;4185088
25500;4505104
26000;4825104
26500;5145120
27000;5465136
27500;5785136
28000;6105152
28500;6425152
29000;6745168
29500;7065184
30000;984872
30500;1304904
31000;1624952
31500;1945032
32000;2265032
32500;2585040
33000;2905048
33500;3225056
34000;3545064
34500;3865080
35000;4185088
35500;4505096
36000;4825104
36500;5145120
37000;5465128
37500;5785136
38000;6105144
38500;6425152
39000;6745168
39500;7065176
40000;984872
40500;1304904
41000;1624984
41500;1945016
42000;2265040
42500;2585040
43000;2905056
43500;3225056
44000;3545072
44500;3865088
45000;4185088
45500;4505104
46000;4825104
46500;5145120
47000;5465136
47500;5785136
48000;6105152
48500;6425152
49000;6745168
49500;7065184
50000;984872
50500;1304904
51000;1624960
51500;1944968
52000;2265040
52500;2585040
53000;2905056
53500;3225056
54000;3545072
54500;3865088
55000;4185088
55500;4505104
56000;4825104
56500;5145120
57000;5465136
57500;5785136
58000;6105152
58500;6425152
59000;6745168
59500;7065184
60000;984872
60500;1304904
61000;1624952
61500;1945032
62000;2265032
62500;2585040
63000;2905048
63500;3225056
64000;3545064
64500;3865080
65000;4185088
65500;4505096
66000;4825104
66500;5145120
67000;5465128
67500;5785136
68000;6105144
68500;6425152
69000;6745168
69500;7065176
70000;984872
70500;1304904
71000;1624984
71500;1945016
72000;2265040
72500;2585040
73000;2905056
73500;3225056
74000;3545072
74500;3865088
75000;4185088
75500;4505104
76000;4825104
76500;5145120
77000;5465136
77500;5785136
78000;6105152
78500;6425152
79000;6745168
79500;7065184
80000;984872
80500;1304904
81000;1624960
81500;1944968
82000;2265040
82500;2585040
83000;2905056
83500;3225056
84000;3545072
84500;3865088
85000;4185088
85500;4505104
86000;4825104
86500;5145120
87000;5465136
87500;5785136
88000;6105152
88500;6425152
89000;6745168
89500;7065184
90000;984872
90500;1304904
91000;1624952
91500;1945032
92000;2265032
92500;2585040
93000;2905048
93500;3225056
94000;3545064
94500;3865080
95000;4185088
95500;4505096
96000;4825104
96500;5145120
97000;5465128
97500;5785136
98000;6105144
98500;6425152
99000;6745168
99500;7065176
100000;984872
